Barometer,currentAvg,AvgBefore_2_Second,Pstart,Pend,CurrentFloor
895.062,0.0,0.0,0.0,0.0,0.0,
895.05646,0.0,0.0,0.0,0.0,0.0,
895.0494,0.0,0.0,0.0,0.0,0.0,
895.0509,0.0,0.0,0.0,0.0,0.0,
895.051,0.0,0.0,0.0,0.0,0.0,
895.04474,895.0539,895.0539,0.0,0.0,0.0,
895.04535,895.0539,895.0539,0.0,0.0,0.0,
895.03735,895.0539,895.0539,0.0,0.0,0.0,
895.03735,895.0539,895.0539,0.0,0.0,0.0,
895.03906,895.0539,895.0539,0.0,0.0,0.0,
895.03735,895.0539,895.0539,0.0,0.0,0.0,
895.03406,895.03925,895.0539,0.0,0.0,0.0,
895.03406,895.03925,895.0539,0.0,0.0,0.0,
895.0357,895.03925,895.0539,0.0,0.0,0.0,
895.03796,895.03925,895.0539,0.0,0.0,0.0,
895.03796,895.03925,895.0539,0.0,0.0,0.0,
895.0366,895.03925,895.0539,0.0,0.0,0.0,
895.0416,895.0365,895.0365,895.0365,0.0,0.0,
895.0466,895.0365,895.0365,895.0365,0.0,0.0,
895.0438,895.0365,895.0365,895.0365,0.0,0.0,
895.0441,895.0365,895.0365,895.0365,0.0,0.0,
895.0425,895.0365,895.0365,895.0365,0.0,0.0,
895.0365,895.0365,895.0365,895.0365,0.0,0.0,
895.0332,895.04266,895.0365,895.0365,0.0,0.0,
895.03015,895.04266,895.0365,895.0365,0.0,0.0,
895.03076,895.04266,895.0365,895.0365,0.0,0.0,
895.0209,895.04266,895.0365,895.0365,0.0,0.0,
895.0132,895.04266,895.0365,895.0365,0.0,0.0,
895.0181,895.04266,895.0365,895.0365,0.0,0.0,
895.0165,895.02264,895.02264,895.0365,0.0,0.0,
895.01544,895.02264,895.02264,895.0365,0.0,0.0,
895.01074,895.02264,895.02264,895.0365,0.0,0.0,
895.00806,895.02264,895.02264,895.0365,0.0,0.0,
894.9882,895.02264,895.02264,895.0365,0.0,0.0,
894.9872,895.02264,895.02264,895.0365,0.0,0.0,
894.9706,895.00195,895.02264,895.0365,0.0,0.0,
894.969,895.00195,895.02264,895.0365,0.0,0.0,
894.9643,895.00195,895.02264,895.0365,0.0,0.0,
894.95605,895.00195,895.02264,895.0365,0.0,0.0,
894.9467,895.00195,895.02264,895.0365,0.0,0.0,
894.94867,895.00195,895.02264,895.0365,0.0,0.0,
