Timestamp,X,Y,Z
0.008
0.028,0.19033903,-0.17238252,9.80665
0.049,0.16400282,-0.16280572,9.805453
0.069,0.18195933,-0.16639702,9.81503
0.09,0.16519992,-0.16160862,9.81503
0.111,0.16160862,-0.16759412,9.805453
0.131,0.16519992,-0.15801731,9.805453
0.153,0.16639702,-0.16160862,9.799467
0.174,0.16998832,-0.16879122,9.810242
0.194,0.17477672,-0.1592144,9.801862
0.215,0.16879122,-0.1592144,9.807847
0.236,0.16160862,-0.16998832,9.810242
0.256,0.16879122,-0.16400282,9.807847
0.277,0.16639702,-0.15083471,9.801862
0.298,0.16639702,-0.15562311,9.810242
0.319,0.16400282,-0.16160862,9.805453
0.339,0.16160862,-0.16160862,9.800665
0.36,0.16879122,-0.16280572,9.807847
0.381,0.17118542,-0.15442601,9.799467
0.402,0.16519992,-0.16759412,9.809045
0.423,0.16759412,-0.1604115,9.791088
0.444,0.16519992,-0.1592144,9.8042555
0.465,0.17717093,-0.16639702,9.801862
0.486,0.16998832,-0.16998832,9.794679
0.507,0.16759412,-0.16639702,9.803059
0.528,0.16639702,-0.16400282,9.799467
0.55,0.17118542,-0.16280572,9.813833
0.573,0.16759412,-0.1604115,9.809045
0.596,0.16759412,-0.15083471,9.8042555
0.618,0.17357962,-0.16519992,9.811439
0.64,0.16519992,-0.1592144,9.801862
0.662,0.17118542,-0.1592144,9.80665
0.684,0.16280572,-0.1592144,9.794679
0.705,0.16280572,-0.15682021,9.807847
0.728,0.17597382,-0.16519992,9.812635
0.75,0.16519992,-0.15801731,9.81503
0.773,0.16879122,-0.15801731,9.794679
0.794,0.17238252,-0.16879122,9.817424
0.817,0.17238252,-0.16639702,9.79827
0.839,0.16639702,-0.1592144,9.811439
0.86,0.17118542,-0.15801731,9.8042555
0.882,0.17238252,-0.15203181,9.799467
0.904,0.17477672,-0.1592144,9.805453
0.926,0.16759412,-0.15682021,9.805453
0.948,0.16759412,-0.15562311,9.794679
0.971,0.17836803,-0.16519992,9.800665
0.993,0.16759412,-0.1604115,9.805453
1.015,0.17477672,-0.1604115,9.810242
1.039,0.17118542,-0.15322891,9.813833
1.061,0.17118542,-0.15322891,9.813833
1.084,0.17477672,-0.1592144,9.816227
1.106,0.16639702,-0.15682021,9.80665
1.128,0.17597382,-0.16280572,9.8042555
1.15,0.17956513,-0.16998832,9.812635
1.172,0.16400282,-0.15203181,9.80665
1.194,0.16879122,-0.15322891,9.810242
1.221,0.17238252,-0.15442601,9.811439
1.243,0.16879122,-0.16519992,9.803059
1.267,0.16639702,-0.16160862,9.811439
1.289,0.16759412,-0.16998832,9.801862
1.31,0.16759412,-0.16998832,9.801862
1.333,0.16519992,-0.16400282,9.7958765
1.355,0.16639702,-0.16400282,9.811439
1.377,0.17357962,-0.16280572,9.800665
1.4,0.16519992,-0.16519992,9.801862
1.422,0.16879122,-0.14844051,9.8042555
1.445,0.16400282,-0.16879122,9.805453
1.467,0.16639702,-0.16280572,9.800665
1.489,0.1604115,-0.15203181,9.807847
1.511,0.16998832,-0.1604115,9.811439
